epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2080.86,2.91146,4.45746,3.77936,0.00027,0.05142,0.00015,3e-05,3.07912,4.85355,4.15793,0.00034542,0.00034542,0.00034542
2,4266.31,2.76096,3.68843,3.17925,0,0,0,0,3.52419,4.72471,3.66705,0.000687331,0.000687331,0.000687331
3,6325.7,2.44716,3.00582,2.8243,0.72655,0.04719,0.00708,0.00302,3.36504,106.893,72.827,0.000876276,0.000876276,0.000876276
4,8414.99,2.27238,2.59429,2.63391,0.88572,0.03429,0.04904,0.02362,2.75913,6.05906,5.65159,0.000859914,0.000859914,0.000859914
5,10497.6,2.10952,2.27313,2.54832,0.2584,0.24922,0.16937,0.07668,2.48827,3.59751,3.33732,0.000843552,0.000843552,0.000843552
6,12605.4,2.08578,2.16504,2.52257,0.27651,0.45926,0.2526,0.14603,2.24917,2.6568,2.57874,0.00082719,0.00082719,0.00082719
7,14679.2,2.04309,2.06649,2.45939,0.25566,0.4272,0.29938,0.14622,2.51545,3.35613,2.89788,0.000810828,0.000810828,0.000810828
8,16755.6,1.92716,1.97965,2.37114,0.29831,0.42308,0.33574,0.19178,2.1906,2.21153,2.5618,0.000794466,0.000794466,0.000794466
9,18838.1,1.83763,1.81467,2.29921,0.29967,0.46221,0.39566,0.21449,2.28985,2.1274,2.60683,0.000778104,0.000778104,0.000778104
10,20906.3,1.84089,1.76095,2.28642,0.46512,0.39684,0.36883,0.20212,2.21569,2.46313,2.61315,0.000761742,0.000761742,0.000761742
11,23044.6,1.78028,1.76141,2.24154,0.35177,0.42603,0.38331,0.2263,2.05473,2.25787,2.43207,0.00074538,0.00074538,0.00074538
12,25095.2,1.77927,1.73158,2.17814,0.40876,0.46417,0.42043,0.25191,2.04308,2.00233,2.27771,0.000729018,0.000729018,0.000729018
13,27145.9,1.7674,1.71553,2.19264,0.3955,0.50968,0.44059,0.27276,1.99019,1.82829,2.30745,0.000712656,0.000712656,0.000712656
14,29213.8,1.82667,1.65804,2.21523,0.62132,0.42743,0.48761,0.31999,1.95298,2.28956,2.33749,0.000696294,0.000696294,0.000696294
15,31295.6,1.68016,1.54679,2.10186,0.61109,0.53437,0.52227,0.32148,1.99324,1.76125,2.24336,0.000679932,0.000679932,0.000679932
16,33339.9,1.72095,1.62686,2.14942,0.47187,0.54002,0.46331,0.30436,1.89681,1.98816,2.16069,0.00066357,0.00066357,0.00066357
17,35363.7,1.73002,1.56788,2.10365,0.45303,0.48071,0.43901,0.29364,1.92336,1.82963,2.17211,0.000647208,0.000647208,0.000647208
18,37399.9,1.61306,1.47641,2.10681,0.55457,0.47742,0.48175,0.31527,1.88714,1.68139,2.20269,0.000630846,0.000630846,0.000630846
19,39449.4,1.65143,1.44351,2.10489,0.46149,0.49453,0.43009,0.27414,1.97971,1.75834,2.24059,0.000614484,0.000614484,0.000614484
20,41624.8,1.63177,1.43344,2.08801,0.62054,0.50951,0.52157,0.34288,1.94585,1.67735,2.15614,0.000598122,0.000598122,0.000598122
21,43958.8,1.60484,1.45989,2.04172,0.69411,0.56828,0.53376,0.31837,2.02614,1.57974,2.26949,0.00058176,0.00058176,0.00058176
22,46130.1,1.62551,1.3961,2.0287,0.76551,0.4632,0.58397,0.38603,1.86391,1.71894,2.1382,0.000565398,0.000565398,0.000565398
23,48270,1.58111,1.38303,2.03148,0.4867,0.53539,0.54559,0.35248,1.82756,1.67773,2.08071,0.000549036,0.000549036,0.000549036
24,50571.7,1.52826,1.32738,1.99942,0.62328,0.59846,0.61897,0.39616,1.89341,1.45393,2.14515,0.000532674,0.000532674,0.000532674
25,53025.8,1.61455,1.34591,2.01943,0.61033,0.54433,0.54616,0.36771,1.90593,1.64553,2.15558,0.000516312,0.000516312,0.000516312
26,55315.3,1.59781,1.31563,2.03973,0.59084,0.5322,0.55824,0.38654,1.84342,1.66322,2.12495,0.00049995,0.00049995,0.00049995
27,57458.3,1.58868,1.32855,2.05833,0.72475,0.60311,0.58824,0.39034,1.79707,1.54185,2.10377,0.000483588,0.000483588,0.000483588
28,59602.3,1.54681,1.28993,1.96292,0.59423,0.587,0.56471,0.37356,1.8239,1.66816,2.07858,0.000467226,0.000467226,0.000467226
29,61763.7,1.4742,1.18005,1.95814,0.59009,0.55028,0.57484,0.3868,1.81218,1.49046,2.12774,0.000450864,0.000450864,0.000450864
30,63954.9,1.48161,1.18819,1.95538,0.6268,0.52367,0.5824,0.38285,1.86088,1.47535,2.1292,0.000434502,0.000434502,0.000434502
31,66290.8,1.52666,1.20087,1.96263,0.5237,0.5569,0.50606,0.33729,1.79251,1.90348,2.08145,0.00041814,0.00041814,0.00041814
32,68640.2,1.53177,1.20012,1.93692,0.79656,0.51873,0.61541,0.42685,1.75911,1.41834,2.00422,0.000401778,0.000401778,0.000401778
33,72843.5,1.47461,1.1881,1.92832,0.80002,0.5691,0.64568,0.43104,1.76381,1.41974,2.01667,0.000385416,0.000385416,0.000385416
34,74902,1.47277,1.16421,1.9328,0.7598,0.44793,0.58034,0.38854,1.78696,1.5292,2.08396,0.000369054,0.000369054,0.000369054
35,76951.7,1.46096,1.13707,1.91542,0.58398,0.54222,0.5888,0.40293,1.75815,1.53465,2.023,0.000352692,0.000352692,0.000352692
36,79191.1,1.46871,1.15184,1.88186,0.78287,0.54649,0.60849,0.41381,1.82272,1.60133,2.14478,0.00033633,0.00033633,0.00033633
37,81651,1.44105,1.12426,1.8812,0.71636,0.51972,0.63399,0.41478,1.83112,1.50352,2.14063,0.000319968,0.000319968,0.000319968
38,83712.3,1.47972,1.14019,1.89203,0.75453,0.5575,0.62081,0.42462,1.7562,1.42054,2.03488,0.000303606,0.000303606,0.000303606
39,85756.4,1.43164,1.11633,1.88636,0.7346,0.4235,0.57639,0.38633,1.80446,1.53968,2.06974,0.000287244,0.000287244,0.000287244
40,87811.5,1.48871,1.12684,1.89466,0.67487,0.54655,0.6322,0.42491,1.75307,1.38401,2.01545,0.000270882,0.000270882,0.000270882
41,89923.2,1.31441,0.85589,1.72332,0.84587,0.48825,0.64034,0.44055,1.72052,1.4205,2.04057,0.00025452,0.00025452,0.00025452
42,109976,1.31389,0.83128,1.70108,0.77352,0.50346,0.63195,0.43458,1.7503,1.50578,2.0987,0.000238158,0.000238158,0.000238158
43,112209,1.3267,0.82926,1.70728,0.7799,0.55323,0.6499,0.4314,1.81623,1.47234,2.11412,0.000221796,0.000221796,0.000221796
44,114281,1.28253,0.79181,1.68352,0.80828,0.5506,0.64882,0.4454,1.71857,1.34951,2.01768,0.000205434,0.000205434,0.000205434
45,116400,1.27683,0.77391,1.66562,0.79641,0.54418,0.63072,0.44733,1.71576,1.42118,2.01553,0.000189072,0.000189072,0.000189072
46,118503,1.27796,0.80225,1.65781,0.83372,0.55933,0.65486,0.45288,1.73074,1.31852,2.02404,0.00017271,0.00017271,0.00017271
47,120533,1.25646,0.76175,1.65119,0.77563,0.55343,0.65816,0.45544,1.73804,1.36907,2.04919,0.000156348,0.000156348,0.000156348
48,122606,1.22629,0.75396,1.63279,0.73605,0.55265,0.63097,0.44869,1.70305,1.39693,2.01858,0.000139986,0.000139986,0.000139986
49,124677,1.26003,0.76964,1.65145,0.7719,0.54555,0.63616,0.43871,1.76271,1.42234,2.04936,0.000123624,0.000123624,0.000123624
50,126902,1.25821,0.74918,1.64933,0.69062,0.60647,0.66122,0.4621,1.68663,1.24336,1.97732,0.000107262,0.000107262,0.000107262
